CLCLIE;CLNOM;CLPTT
AA001;A ALPHA SERRURERIE DEPANNAGE;13010
AA002;AAEF;13004
AA003;AADS SERRURERIE;13010
AA004;AARI ENTREPRISE / CANNATI ERIC;83170
AA005;A.A.D.E.V. SARL;38610
AA007;ALLIANCE ALU ET FER COTE AZUR;06000
AA011;ABAC DEPANNAGE SARL;13685
AA012;ACTIF ALUMINIUM AGENCEMENT;13013
AA016;A.A.R.E.S SARL;13420
AA018;ALLIANCE ARTISANS SALON;13300
AA019;AAVS DISPACO;13650
AA020;AAFA SARL;84420
AA021;2AS;11100
AA022;A2C;20200
AA023;2A SERVICES BLEU MINUTE;34000
AA024;A13 PROTECTION;13008
AA025;AACS;13008
AB001;ABC ALUMINIUM;26270
AB003;AB MAINTENANCE;13009
AB004;AB2F;13012
AB005;ABC SYSTEMES ET FORMATION;92240
AB006;ABAC ABALONE ASSISTANCE;06000
AB007;ABC DEPANNAGE MONSIEUR WALDURA;13100
AB011;ABC ELECTRIQUE, SARL;13015
AB012;ABS;13015
AB013;AB SUD ELEC SARL;48300
AB017;ABITA SERVICE PROVENCE;13016
AB020;ABRI SECURITE;13008
AB023;ABRI MATERNEL;13492
AB031;EURL AB STORES;83120
AB037;ABIOTECH;13340
AB040;ABRIFINAL;24250
AB041;SOCIETE ABSCYSS;30900
AB042;ABC SYSTEME;13920
AB045;ABS FERMETURES;83130
AB048;ABRISPHERE;84270
AB050;ABRITECH;06130
AB051;ABRIS CONCEPT;13340
AB052;AB STRUCTURES;34070
AB054;ABI MENUISERIE;13410
AB055;ABBOU R SARL;13008
AB056;ABE 13;13010
AB058;AB BRUNO SERRURERIE;06600
AB059;ABFC;13390
AB060;ABA FERMETURES;06210
AB061;ALUMINIUM BATIMENT CONFORT;26270
AB062;ABSL;83136
AB063;ABL SERRURERIE;13009
AB064;ABACA;13008
AB065;ABC ALU 13;13400
AB067;ABAO.FR;13011
AB069;ABSOLU SERRURERIE;83300
AB072;ABH SARL;06600
AB073;SARL ABS;13010
AB074;ABS COPP SARL;06700
AB075;ABAM;13012
AB076;ETS ABRAM DISTRIBUTION;04100
AB077;AB CONCEPT;13013
AB078;ABACAS SARL AUX 3 CLES;84000
AB079;ABD AUTOMATISMES ELECTRICITE;13170
AB080;AB SERVICES;06250
AB081;ABSOLUTE SERRURERIE;83500
AB082;AB SECURITE CURTISOLAR;98000
AB083;ABMS;77165
AB084;ABCD INTERNATIONAL;91350
AB085;ABM DESIGN;06700
AB086;AB STORE;13003
AB087;ABEILLE RENOVATION;13011
AB088;AUBACOM ENERGIE SECURITE;13400
AB089;A&B CONSULTING;78000
AB090;AB LOCK;06690
AB091;ABGM MENUISERIE;20230
AB092;ABRENOV INTERVENTION;13014
AB093;ABSOLU SERVICE SAS;06700
AC001;ACAUPEL;13300
AC002;A C M S;13720
AC003;ACANTHE SARL;34170
AC004;ACCORD;13090
AC005;ACA CONCEPT;13800
AC006;ACCOPLAS;13311
AC007;AC PRO SERRURIERS SARL;26000
AC008;ACPM;13013
AC009;ACTU ENERGY;83270
AC013;ACCUEIL DE NUIT ST JEAN DIEU;13002
AC014;ALTEC SECURITE;13820
AC016;GTIE PROVENCE ACTEMIUM;13127
AC018;ACTI 13;13360
AC019;ACTE II;13011
AC023;ACTI POSE;13400
AC024;ACTIPRO;13010
AC027;ACC (ANDRE CHAZOT CORNEDE);34070
AC030;ACPA 13;13008
AC032;ACE;13170
AC033;ACCES DEPANNAGES;13480
AC035;ACTEC;13005
AC040;ACSH;13120
AC044;ACTIS CAPORALE ALU;13124
AC045;ACTI;83500
AC046;ACTP SARL;83030
AC047;ACCES;13008
AC049;ACTIVA FERMETURES;34070
AC050;ACB;13290
AC051;AC2M;13340
AC052;ACTISER;13010
AC053;AC2O;13790
AC055;ACCORD BOIS;84110
AC056;ACR EURL;13300
AC057;AC2F;13090
AC059;ACR MACONNERIE EUROBAT SARL;13420
AC060;ACADEMIE PROTECTION;13012
AC061;ACQUI PLAST;06390
AC064;ACTION BRUNO SERVICES;06800
AC065;ACS PROTECT;34980
AC066;A C A;83170
AC067;ACOUSTIC SYSTEMS INTERIOR;13005
AC068;ACCENT DU SUD;13530
AC069;ACRM INGENIERIE;13015
AC070;ACIER SERVICE;07200
AC071;ACRES NICE;06000
AC072;ACD;13220
AC073;ACCES PRO;13004
AC074;ACTIO;13005
AC075;ACL MENUIS & AGENC DU BATIMEN;83310
AC076;2 ACS;06200
AC077;A.C.V.I BIOMETRIE;06200
AC078;ACADEMIE DE LA CLE;06603
AC079;ACROPOLIS SERVICE;06300
